date,writing
1963-01,562674
1963-02,599
1963-03,668516
1963-04,597798
1963-05,579889
1963-06,668233
1963-07,499232
1963-08,215187
1963-09,555813
1963-10,586935
1963-11,546136
1963-12,571111
1964-01,634712
1964-02,639283
1964-03,712182
1964-04,621557
1964-05,621
1964-06,675989
1964-07,501322
1964-08,220286
1964-09,560727
1964-10,602.53
1964-11,626379
1964-12,605508
1965-01,646783
1965-02,658442
1965-03,712906
1965-04,687714
1965-05,723916
1965-06,707183
1965-07,629
1965-08,237.53
1965-09,613296
1965-10,730444
1965-11,734925
1965-12,651812
1966-01,676155
1966-02,748183
1966-03,810681
1966-04,729363
1966-05,701108
1966-06,790079
1966-07,594621
1966-08,230716
1966-09,617189
1966-10,691389
1966-11,701067
1966-12,705777
1967-01,747636
1967-02,773392
1967-03,813788
1967-04,766713
1967-05,728875
1967-06,749197
1967-07,680954
1967-08,241424
1967-09,680234
1967-10,708326
1967-11,694238
1967-12,772071
1968-01,795337
1968-02,788421
1968-03,889968
1968-04,797393
1968-05,751
1968-06,821255
1968-07,691605
1968-08,290655
1968-09,727147
1968-10,868355
1968-11,812.39
1968-12,799556
1969-01,843038
1969-02,847
1969-03,941952
1969-04,804309
1969-05,840307
1969-06,871528
1969-07,656.33
1969-08,370508
1969-09,742
1969-10,847152
1969-11,731675
1969-12,898527
1970-01,778139
1970-02,856075
1970-03,938833
1970-04,813023
1970-05,783417
1970-06,828.11
1970-07,657311
1970-08,310032
1970-09,780
1970-10,860
1970-11,780
1970-12,807993
1971-01,895217
1971-02,856075
1971-03,893268
1971-04,875
1971-05,835088
1971-06,934595
1971-07,832.5
1971-08,300
1971-09,791443
1971-10,900
1971-11,781729
1971-12,880
1972-01,875024
1972-02,992968
1972-03,976804
1972-04,968697
1972-05,871675
1972-06,1006852
1972-07,832037
1972-08,345587
1972-09,849528
1972-10,913871
1972-11,868746
1972-12,993733
